id,candidate_id,applied_at,rejected_at,last_activity_at,prospect,location_address,status,is_deleted,source_id,rejected_reason_id,credited_to_user_id,current_stage_id,prospect_pool_id,prospect_stage_id,prospect_owner_id,_fivetran_deleted,_fivetran_synced
183172749,165552455,2021-01-05 06:55:03.179000,2021-01-14 10:17:09.207000,2021-01-14 10:17:09.495000,false,"Midrand, Gauteng, South Africa",rejected,,2,26000,,10943969,,,,false,2021-03-09 13:49:26.436000
184518845,166681426,2021-01-14 12:12:02.601000,2021-01-17 18:02:50.269000,2021-01-19 18:02:51.342000,false,,rejected,,2,26000,,11621219,,,,false,2021-03-09 13:52:05.893000
184638625,166797174,2021-01-15 05:49:02.139000,2021-01-17 18:20:47.461000,2021-01-19 18:20:47.762000,false,,rejected,,2,26000,,11621219,,,,false,2021-03-09 13:52:37.002000
184841206,166993707,2021-01-17 13:46:00.817000,2021-01-21 14:53:16.248000,2021-01-21 14:53:16.512000,false,"Johannesburg, Gauteng, South Africa",rejected,,2,26000,,11653734,,,,false,2021-03-09 13:53:41.916000
186853106,168927015,2021-02-02 13:22:03.254000,2021-02-03 12:57:06.827000,2021-02-04 12:57:10.307000,false,"Cape Town, Western Cape, South Africa",rejected,,2,26000,,10605233,,,,false,2021-03-09 13:58:51.903000
187889199,169928299,2021-02-10 10:15:01.283000,2021-02-11 09:55:45.634000,2021-02-11 09:55:45.846000,false,"Johannesburg, Gauteng, South Africa",rejected,,2,26000,,10943969,,,,false,2021-03-09 14:00:28.742000
148396031,49267156,2020-01-21 12:47:39.488000,,2020-03-25 13:10:43.210000,false,"Durbanville, Western Cape, South Africa",active,,2,,,5749234,,,,false,2021-03-09 13:23:27.985000
150980452,134825416,2020-02-13 15:07:05.623000,2020-02-15 16:17:41.767000,2020-03-11 11:56:59.349000,false,,rejected,,2,15703,,9410998,,,,false,2021-03-09 13:30:37.498000
151413549,135247115,2020-02-18 09:23:02.633000,2020-02-18 09:45:49.009000,2020-02-19 09:45:55.516000,false,,rejected,,2,15703,,9410998,,,,false,2021-03-09 13:32:39.931000
152828706,136611725,2020-03-02 09:22:02.029000,2020-03-13 09:06:46.581000,2020-03-13 14:01:48.118000,false,,rejected,,2,9,,9738146,,,,false,2021-03-09 13:37:08.704000
154365537,138078923,2020-03-16 12:10:52.052000,2020-03-17 14:27:22.762000,2020-03-18 08:00:04.738000,false,,rejected,,13,16079,1335526,9696406,,,,false,2021-03-09 13:40:43.155000
162316486,145569590,2020-06-23 13:34:02.685000,2020-06-29 09:33:31.799000,2020-06-29 09:33:33.210000,false,"Cape Town, Western Cape, South Africa",rejected,,2,26000,,8287838,,,,false,2021-03-09 13:42:34.221000
191235109,173151073,2021-03-09 19:02:05.646000,2021-03-16 14:18:01.858000,2021-03-16 14:18:02.557000,false,"Sandton, Gauteng, South Africa",rejected,,2,15703,,13023766,,,,false,2021-03-16 18:32:37.812000
199491832,181023753,2021-05-17 06:19:01.653000,2021-05-17 10:01:03.574000,2021-05-17 10:01:04.179000,false,,rejected,,2,26000,,13234901,,,,false,2021-05-17 12:28:03.068000
198357734,179943770,2021-05-06 16:11:03.521000,,2021-05-24 18:00:51.077000,false,"Stellenbosch, Western Cape, South Africa",active,,2,,,13428459,,,,false,2021-05-24 18:55:42.011000
198975003,180536729,2021-05-12 05:47:01.767000,2021-05-26 17:48:45.487000,2021-05-26 17:48:45.536000,false,"Kempton Park, Gauteng, South Africa",rejected,,2,20390,,13626390,,,,false,2021-05-26 18:55:05.708000
179391935,161919892,2020-11-25 20:14:05.667000,2020-11-26 15:05:01.583000,2020-11-26 15:05:02.840000,false,"Cape Town, Western Cape, South Africa",rejected,,2,26000,,10943969,,,,false,2021-03-09 13:47:24.033000
185785087,167904682,2021-01-25 10:48:02.444000,2021-01-28 15:41:03.443000,2021-01-28 15:41:03.734000,false,"Johannesburg, Gauteng, South Africa",rejected,,2,26000,,11653734,,,,false,2021-03-09 13:56:54.397000
186588840,168670688,2021-01-31 09:33:00.933000,2021-02-01 15:02:48.445000,2021-02-01 15:02:49.014000,false,,rejected,,2,26000,,11621219,,,,false,2021-03-09 13:58:24.125000
146244551,130337064,2020-01-02 19:54:03.605000,2020-01-20 14:13:14.920000,2020-01-21 14:13:21.093000,false,,rejected,,7,9,,9110496,,,,false,2021-03-09 13:16:49.319000
146481379,130568799,2020-01-05 19:59:05.148000,2020-01-28 11:25:05.312000,2020-01-28 11:25:06.289000,false,"Lagos Island, Lagos, Nigeria",rejected,,2,26000,,9172553,,,,false,2021-03-09 13:17:09.275000
146553287,130638429,2020-01-06 15:31:03.964000,2020-01-20 14:13:13.811000,2020-01-21 14:13:15.209000,false,,rejected,,2,9,,9110496,,,,false,2021-03-09 13:17:35.726000
