application_id,job_id,_fivetran_synced
176883127,1419928,2021-03-09 13:47:01.793000
190232903,1583059,2021-03-09 14:05:15.500000
73361702,503478,2021-03-09 11:15:23.936000
96202567,820798,2021-03-09 11:29:35.045000
110241486,539354,2021-03-09 11:44:15.669000
125662186,670237,2021-03-09 12:15:40.194000
134082064,1158887,2021-03-09 12:29:56.204000
139961600,1190420,2021-03-09 12:44:47.396000
142543762,1146289,2021-03-09 12:59:22.387000
144951392,1241859,2021-03-09 13:15:01.986000
191996748,1744688,2021-03-18 18:31:38.587000
189612002,1583059,2021-05-10 18:28:43.568000
198031876,1791578,2021-06-04 12:55:15.317000
177008654,1419928,2021-03-09 13:47:02.261000
55044422,453673,2021-03-09 10:45:44.292000
94345294,799522,2021-03-09 11:28:16.483000
109228607,930003,2021-03-09 11:42:13.609000
120040118,1041480,2021-03-09 11:57:53.156000
133995688,1152186,2021-03-09 12:28:22.549000
139402868,1127885,2021-03-09 12:43:28.427000
142204363,1202848,2021-03-09 12:58:25.518000
150960130,1292092,2021-03-09 13:29:56.810000
192129093,1730731,2021-03-16 12:32:23.871000
156253179,1239515,2021-05-07 18:27:44.836000
64441222,506147,2021-03-09 11:02:36.879000
74497703,529043,2021-03-09 11:16:36.514000
111716351,821955,2021-03-09 11:45:54.054000
121023758,969787,2021-03-09 12:02:22.421000
126239024,1072848,2021-03-09 12:17:23.564000
135395611,1158769,2021-03-09 12:31:41.288000
140636389,1188855,2021-03-09 12:47:15.954000
142665092,1158769,2021-03-09 13:01:27.878000
146550341,1229666,2021-03-09 13:17:34.991000
152099702,1127885,2021-03-09 13:35:05.293000
194314241,1773497,2021-04-07 12:28:15.126000
195990383,1791578,2021-05-13 18:28:16.119000
178702463,1484071,2021-03-09 13:47:04.715000
190167694,1557934,2021-03-09 14:05:13.495000
55714445,437730,2021-03-09 10:47:17.288000
73625698,530172,2021-03-09 11:16:09.172000
110169969,891296,2021-03-09 11:44:13.690000
140242751,1190420,2021-03-09 12:44:56.637000
142613342,1190420,2021-03-09 13:00:07.509000
145022447,1237613,2021-03-09 13:15:04.980000
150963155,1290973,2021-03-09 13:30:14.279000
191168366,1733614,2021-03-10 06:02:36.155000
140261834,1190420,2021-05-10 18:30:03.412000
50806356,402151,2021-03-09 10:34:06.708000
55996990,437730,2021-03-09 10:48:25.220000
74604879,556954,2021-03-09 11:16:37.749000
98005214,821955,2021-03-09 11:31:16.661000
126220872,670237,2021-03-09 12:17:19.695000
135396806,1158769,2021-03-09 12:32:02.651000
140569154,1205228,2021-03-09 12:46:31.816000
142668626,1158769,2021-03-09 13:01:44.083000
146246889,1237613,2021-03-09 13:17:04.835000
151414065,1290973,2021-03-09 13:32:55.427000
192140590,1730731,2021-03-16 12:32:24.126000
196504427,1744688,2021-05-03 12:27:59.114000
201045980,1822856,2021-05-31 18:56:16.474000
189203978,1650990,2021-03-09 14:03:17.786000
55119138,453673,2021-03-09 10:46:23.614000
109573723,891296,2021-03-09 11:43:24.193000
