id,name,created_at,updated_at,job_id,_fivetran_deleted,_fivetran_synced
9519779,Preliminary Screening,2020-02-04 15:15:05.973000,2020-02-04 15:15:05.973000,1282977,false,2021-03-09 14:08:03.729000
9593963,Preliminary Screening,2020-02-13 09:19:55.120000,2020-02-13 09:19:55.120000,1292103,false,2021-03-09 14:08:04.782000
12271421,Offer,2021-02-09 14:12:44.571000,2021-02-09 14:12:44.571000,1643942,false,2021-03-09 14:08:07.405000
13630945,Application Review,2021-05-17 18:06:21.406000,2021-05-17 18:06:21.406000,1826140,false,2021-05-17 18:29:34.454000
9593967,Reference Check,2020-02-13 09:19:55.219000,2020-02-13 09:19:55.219000,1292103,false,2021-03-09 14:08:04.782000
11621221,StrengthFinder Assessment,2021-01-13 11:41:51.165000,2021-01-21 11:52:43.814000,1553536,false,2021-03-09 14:08:06.738000
11653716,typeform,2021-01-16 10:42:14.895000,2021-01-16 10:42:14.895000,1557934,false,2021-03-09 14:08:06.740000
12872537,StrengthFinders,2021-02-18 11:59:46.455000,2021-02-18 12:21:45.467000,1725067,false,2021-03-09 14:08:07.407000
12981837,Remote Assessment,2021-03-03 09:07:01.082000,2021-03-03 09:07:01.082000,1739664,false,2021-03-09 14:08:07.789000
13198606,Technical Interview/Case Study,2021-03-26 16:30:51.483000,2021-03-26 16:30:51.483000,1768716,false,2021-03-26 18:31:37.522000
9457014,Technical Interview,2020-01-27 15:25:20.478000,2020-01-27 15:32:14.338000,1274680,false,2021-03-09 14:08:02.976000
13428460,Offer,2021-04-23 10:08:41.940000,2021-05-05 13:02:05.200000,1799751,false,2021-05-05 18:28:16.689000
9788321,Remote Assessment,2020-03-12 16:02:01.175000,2020-03-12 16:02:01.175000,1318079,false,2021-03-09 14:08:05.708000
12872535,Final Interview,2021-02-18 11:59:46.418000,2021-02-18 12:21:45.480000,1725067,false,2021-03-09 14:08:07.407000
11836062,StrengthFinders,2021-01-30 09:12:35.607000,2021-02-01 16:23:07.662000,1583059,false,2021-03-09 14:08:07.404000
13513116,Offer,2021-05-04 11:22:45.621000,2021-05-04 11:22:45.621000,1810989,false,2021-05-04 12:28:15.288000
11653720,Final Interview,2021-01-16 10:42:14.945000,2021-01-16 10:42:14.945000,1557934,false,2021-03-09 14:08:06.740000
9796077,Offer,2020-03-13 17:43:32.739000,2020-03-13 17:43:32.739000,1319034,false,2021-03-09 14:08:05.709000
11202779,typeform,2020-11-26 12:15:52.413000,2021-01-06 08:43:52.482000,1497118,false,2021-03-09 14:08:06.734000
12484392,Reference Check,2021-02-12 13:51:18.879000,2021-02-12 13:51:18.879000,1671974,false,2021-03-09 14:08:07.406000
9805212,Application Review,2020-03-17 08:54:24.129000,2020-03-17 08:54:24.129000,1320337,false,2021-03-09 14:08:05.709000
11653742,Panel Interview,2021-01-16 10:59:37.330000,2021-02-05 11:21:46.259000,1557936,false,2021-03-09 14:08:06.741000
12936984,StrengthFinders,2021-02-25 16:08:35.883000,2021-02-25 16:08:35.883000,1733629,false,2021-03-09 14:08:07.789000
13550113,Final Interviews,2021-05-07 08:02:39.185000,2021-05-07 08:03:28.591000,1815883,false,2021-05-07 12:28:27.560000
9411004,Meet and Greet,2020-01-21 08:04:29.006000,2020-01-21 08:10:18.891000,1268899,false,2021-03-09 14:08:02.974000
11202781,Technical Interview/Case Study,2020-11-26 12:15:52.446000,2021-01-11 09:49:19.141000,1497118,false,2021-03-09 14:08:06.734000
11667780,Application Review,2021-01-19 19:10:29.642000,2021-01-19 19:10:29.642000,1559791,false,2021-03-09 14:08:06.741000
11687575,Final Interview,2021-01-21 13:49:36.826000,2021-01-21 13:49:36.826000,1562436,false,2021-03-09 14:08:07.403000
9518680,Preliminary Screening,2020-02-04 12:53:10.708000,2020-02-04 12:53:10.708000,1282825,false,2021-03-09 14:08:03.729000
