scheduled_interview_id,interviewer_id,scorecard_id,_fivetran_synced
168792282,484361,32744545,2021-03-09 14:08:13.245000
170217757,1061223,33369869,2021-03-09 14:08:13.245000
172376110,471194,33764593,2021-03-09 14:08:13.246000
173160090,1017138,33441577,2021-03-09 14:08:13.246000
173832199,1241745,33601338,2021-03-09 14:08:13.245000
174199176,689111,,2021-03-09 14:08:13.246000
174922269,464840,,2021-03-09 14:08:13.246000
175336558,1134226,34002640,2021-03-09 14:08:12.996000
175650697,1134222,34024677,2021-03-09 14:08:13.513000
176268800,471194,34139874,2021-03-09 14:08:12.996000
176932465,466247,34363688,2021-03-09 14:08:13.245000
177151239,647034,34403056,2021-03-09 14:08:13.514000
177539227,637602,,2021-03-09 14:08:13.246000
177831270,1145868,34275101,2021-03-09 14:08:13.514000
178104590,484374,,2021-03-09 14:08:13.515000
178323524,660455,34543776,2021-03-09 14:08:12.996000
178700875,1255320,34624316,2021-03-09 14:08:13.515000
179779375,1134197,34872815,2021-03-09 14:08:13.764000
180084792,767626,34874861,2021-03-09 14:08:13.515000
180468027,1192075,35219195,2021-03-09 14:08:13.764000
48221096,441732,9257846,2021-03-09 14:08:09.471000
49518232,473161,,2021-03-09 14:08:09.472000
50058683,474381,,2021-03-09 14:08:09.471000
51198379,464840,9744091,2021-03-09 14:08:09.473000
52141850,441896,,2021-03-09 14:08:09.473000
52519996,464840,,2021-03-09 14:08:09.472000
55371136,441896,,2021-03-09 14:08:09.473000
56468949,484361,10832690,2021-03-09 14:08:09.473000
57784538,473239,,2021-03-09 14:08:09.473000
59216206,473239,,2021-03-09 14:08:09.473000
61293945,468419,11817713,2021-03-09 14:08:09.473000
62762319,524691,,2021-03-09 14:08:09.734000
63517637,441896,12262229,2021-03-09 14:08:09.735000
64881506,484373,12610291,2021-03-09 14:08:09.735000
213822298,1421750,,2021-03-09 14:08:13.764000
67424594,473239,,2021-03-09 14:08:09.735000
216474731,637602,41097095,2021-03-09 14:08:13.764000
217007279,836218,41187284,2021-03-09 14:08:13.764000
69931546,452423,,2021-03-09 14:08:09.736000
71158493,484346,13884916,2021-03-09 14:08:09.735000
72381499,484373,13739891,2021-03-09 14:08:09.473000
73283762,480811,13968443,2021-03-09 14:08:09.736000
73691969,456411,14529596,2021-03-09 14:08:10.008000
221941791,452763,41946118,2021-03-09 14:08:13.765000
222473462,452763,42148976,2021-03-09 14:08:14.030000
222616964,1314103,42046621,2021-03-09 14:08:13.765000
223955866,637602,,2021-03-09 14:08:14.030000
224483580,648036,,2021-03-09 14:08:14.030000
76861135,456411,14658014,2021-03-09 14:08:10.009000
225272490,1134201,42601705,2021-03-09 14:08:14.030000
77486675,456411,15196211,2021-03-09 14:08:10.008000
226551770,592582,43514755,2021-03-09 14:08:13.764000
226787368,456411,,2021-03-09 14:08:14.031000
227107431,1258522,43061356,2021-03-09 14:08:14.263000
227295237,471195,43236101,2021-03-09 14:08:14.031000
227730684,1314111,43518594,2021-03-09 14:08:14.030000
80098773,480811,15270920,2021-03-09 14:08:10.009000
228311476,1192075,,2021-03-09 14:08:14.263000
81767728,484342,15497271,2021-03-09 14:08:10.009000
82314145,552617,15731894,2021-03-09 14:08:10.009000
83007733,648036,15798843,2021-03-09 14:08:10.009000
84993919,733988,16283819,2021-03-09 14:08:10.009000
85651599,648036,,2021-03-09 14:08:10.009000
87248102,473239,,2021-03-09 14:08:10.009000
88968883,813722,,2021-03-09 14:08:10.303000
89906230,473239,,2021-03-09 14:08:10.303000
91054683,484360,17372962,2021-03-09 14:08:10.303000
91463552,813722,17547546,2021-03-09 14:08:10.303000
93085497,473239,17813954,2021-03-09 14:08:10.303000
95766962,484336,18416107,2021-03-09 14:08:10.304000
98160557,484351,19028221,2021-03-09 14:08:10.304000
99407051,466247,19251206,2021-03-09 14:08:10.304000
101132560,473161,19390971,2021-03-09 14:08:10.592000
103343592,484342,19948404,2021-03-09 14:08:10.592000
105441413,456411,20303566,2021-03-09 14:08:10.592000
107060134,473161,20542966,2021-03-09 14:08:10.593000
109136436,637602,21194694,2021-03-09 14:08:10.593000
110322095,464840,21151194,2021-03-09 14:08:10.593000
110744868,648036,21524559,2021-03-09 14:08:10.593000
112670070,944069,21669783,2021-03-09 14:08:10.849000
113836246,637602,22091855,2021-03-09 14:08:10.849000
115662193,474381,22351065,2021-03-09 14:08:10.849000
116409528,689111,,2021-03-09 14:08:10.850000
118809117,471194,22959430,2021-03-09 14:08:11.131000
119643949,466247,23053866,2021-03-09 14:08:10.850000
120401473,480811,23267735,2021-03-09 14:08:10.850000
121807483,473161,23536679,2021-03-09 14:08:11.131000
122111776,648036,23743121,2021-03-09 14:08:10.850000
123670840,637602,23978349,2021-03-09 14:08:11.131000
124424286,1017134,,2021-03-09 14:08:11.131000
125057808,484373,,2021-03-09 14:08:11.379000
125864983,441896,24338362,2021-03-09 14:08:10.850000
126364659,484360,24917461,2021-03-09 14:08:11.380000
127188066,1017134,24487221,2021-03-09 14:08:11.380000
128621566,1017134,25098345,2021-03-09 14:08:11.131000
129286086,1017134,25094692,2021-03-09 14:08:11.380000
130347139,484373,25303748,2021-03-09 14:08:11.131000
130547543,452763,,2021-03-09 14:08:11.380000
130945585,813722,25301735,2021-03-09 14:08:11.380000
133508574,767628,26319061,2021-03-09 14:08:11.654000
133897267,534242,26119057,2021-03-09 14:08:11.655000
134386371,924301,,2021-03-09 14:08:11.380000
134857285,441896,,2021-03-09 14:08:11.655000
135015819,484360,26160523,2021-03-09 14:08:11.655000
135324817,1017134,26242404,2021-03-09 14:08:11.655000
136235635,471195,26735763,2021-03-09 14:08:11.654000
136445424,484346,26494940,2021-03-09 14:08:11.380000
136814076,920751,,2021-03-09 14:08:11.922000
137765405,484353,,2021-03-09 14:08:11.922000
138513838,484361,27039851,2021-03-09 14:08:11.655000
139656301,1017134,,2021-03-09 14:08:11.923000
140243344,592582,,2021-03-09 14:08:11.924000
141066703,484361,27518441,2021-03-09 14:08:11.922000
142793240,484372,27795058,2021-03-09 14:08:11.924000
144020660,474381,27993433,2021-03-09 14:08:12.215000
145006342,466247,28311419,2021-03-09 14:08:11.924000
146595010,471194,29039739,2021-03-09 14:08:12.215000
147315339,471194,29401137,2021-03-09 14:08:11.924000
148793591,471194,28882382,2021-03-09 14:08:12.216000
151254400,1071953,29384757,2021-03-09 14:08:12.216000
152282439,471195,29596799,2021-03-09 14:08:12.216000
153278679,944069,29890957,2021-03-09 14:08:12.217000
154710451,1057501,30068687,2021-03-09 14:08:11.654000
154771114,867170,30121562,2021-03-09 14:08:11.654000
155868377,473161,30458514,2021-03-09 14:08:12.217000
157278869,733988,30720306,2021-03-09 14:08:12.217000
158210383,484373,31393168,2021-03-09 14:08:12.217000
159372338,1134209,31134308,2021-03-09 14:08:12.480000
159855981,484333,31395084,2021-03-09 14:08:12.482000
160236309,1134209,,2021-03-09 14:08:12.480000
161197070,592582,,2021-03-09 14:08:12.481000
162718317,471194,31525185,2021-03-09 14:08:12.745000
163974587,484374,,2021-03-09 14:08:11.924000
164396390,484345,31950094,2021-03-09 14:08:12.482000
164866765,842490,32033796,2021-03-09 14:08:12.745000
165408571,1017134,,2021-03-09 14:08:12.995000
165829683,1017139,32165351,2021-03-09 14:08:12.745000
166013783,1057501,32218666,2021-03-09 14:08:12.745000
166209913,484372,32453814,2021-03-09 14:08:12.745000
166467671,441896,32292109,2021-03-09 14:08:12.746000
166731511,524691,32292721,2021-03-09 14:08:12.481000
167206042,1061223,32835091,2021-03-09 14:08:12.996000
167472197,592582,33018209,2021-03-09 14:08:12.995000
168125295,441896,,2021-03-09 14:08:12.746000
231660681,1050843,43962543,2021-03-14 12:29:46.306000
229626713,471195,43448749,2021-03-16 12:32:44.939000
226307458,484361,42922106,2021-03-16 18:33:07.539000
227107281,1258522,,2021-03-16 18:33:07.539000
228815791,1421750,43448684,2021-03-18 18:31:45.387000
227253866,1527180,,2021-03-23 12:32:24.095000
232207710,484374,44024436,2021-03-29 12:32:28.644000
229285891,1050843,43740700,2021-03-29 18:30:35.436000
232924296,456411,,2021-03-31 12:34:10.772000
234781685,1548499,44582580,2021-04-08 18:28:15.170000
227522843,441896,,2021-04-12 18:28:26.857000
227971863,1298406,43683747,2021-04-13 18:28:46.855000
222607023,1314111,42768643,2021-04-14 18:28:28.709000
236853373,1192075,,2021-04-16 00:28:01.420000
226820017,767628,42955309,2021-04-16 18:28:18.008000
232963050,1061223,44465514,2021-04-19 12:28:36.970000
234997804,1548499,44745596,2021-04-21 18:28:48.162000
236383548,1548499,,2021-04-28 18:27:57.029000
239753558,484329,45788015,2021-05-03 12:28:43.858000
237910114,484350,,2021-05-04 12:28:15.852000
180832165,466247,35166690,2021-05-10 12:30:33.642000
240200816,1298508,45835927,2021-05-10 12:30:33.646000
223456936,647034,42242058,2021-05-10 18:32:28.770000
230166931,1258522,43860330,2021-05-10 18:32:28.771000
231169904,484360,,2021-05-10 18:32:28.774000
229061841,484361,,2021-05-10 18:32:28.771000
177120016,552616,34373062,2021-05-10 18:32:28.764000
221025517,1314103,41786455,2021-05-10 18:32:28.770000
180498296,689111,34909903,2021-05-10 18:32:28.764000
181080104,441896,,2021-05-10 18:32:28.769000
227252300,471194,,2021-05-12 12:30:56.448000
225469146,733990,42611353,2021-05-13 12:28:35.740000
243176294,1418808,46614904,2021-05-19 12:28:37.884000
243955692,648036,,2021-05-19 18:29:29.825000
241484040,1134210,46356286,2021-05-20 12:29:52.133000
243527285,1533860,46632885,2021-05-20 18:28:16.545000
243194850,1548499,46614482,2021-05-27 12:56:42.920000
240419344,1017136,46393810,2021-06-01 12:55:36.072000
245006044,484361,47120471,2021-06-02 12:55:36.942000
245829985,452763,,2021-06-03 06:56:25.875000
240717372,456411,47176812,2021-06-03 12:55:44.240000
245829986,484340,,2021-06-03 12:55:44.241000
168891850,1061223,33022798,2021-03-09 14:08:13.245000
171397571,471194,,2021-03-09 14:08:12.996000
172376293,471194,,2021-03-09 14:08:13.246000
173160094,1017138,33435716,2021-03-09 14:08:13.246000
173840380,1061223,,2021-03-09 14:08:13.512000
174228869,484346,,2021-03-09 14:08:13.246000
174922269,484350,,2021-03-09 14:08:13.246000
175336560,1134226,33987075,2021-03-09 14:08:12.995000
175650698,452419,,2021-03-09 14:08:13.513000
176287830,767628,34097650,2021-03-09 14:08:13.245000
176932466,471194,34360281,2021-03-09 14:08:13.245000
177151241,484351,,2021-03-09 14:08:13.514000
177539228,471195,34540367,2021-03-09 14:08:13.246000
177842148,1134200,,2021-03-09 14:08:13.513000
178253369,1017134,,2021-03-09 14:08:12.996000
178323541,561465,34540123,2021-03-09 14:08:13.513000
180078628,484362,34877114,2021-03-09 14:08:13.515000
180084793,1298406,34874463,2021-03-09 14:08:13.515000
48221096,473239,,2021-03-09 14:08:09.471000
49634029,456411,9476368,2021-03-09 14:08:09.472000
50063265,468419,,2021-03-09 14:08:09.473000
51451931,484367,9775526,2021-03-09 14:08:09.473000
52141850,473239,,2021-03-09 14:08:09.473000
52857147,441732,10091024,2021-03-09 14:08:09.473000
55371136,524691,10612099,2021-03-09 14:08:09.473000
56785673,452423,10886944,2021-03-09 14:08:09.473000
58028994,468419,11281670,2021-03-09 14:08:09.473000
59355030,524691,,2021-03-09 14:08:09.473000
61366134,468419,11821195,2021-03-09 14:08:09.734000
62764849,524691,,2021-03-09 14:08:09.734000
63765205,473239,,2021-03-09 14:08:09.735000
64971531,648036,12380202,2021-03-09 14:08:09.735000
65749509,552617,12579974,2021-03-09 14:08:09.735000
67424594,552617,12849534,2021-03-09 14:08:09.735000
216474732,441896,,2021-03-09 14:08:13.764000
217007389,1134205,,2021-03-09 14:08:13.764000
69941291,441896,13618256,2021-03-09 14:08:09.736000
71292986,464840,,2021-03-09 14:08:09.736000
72512611,464840,,2021-03-09 14:08:09.473000
73283763,474381,14548348,2021-03-09 14:08:09.736000
221794837,1298406,41942922,2021-03-09 14:08:14.030000
221941791,1232456,41940931,2021-03-09 14:08:13.765000
222473462,1232456,42140022,2021-03-09 14:08:14.030000
222622275,1314107,,2021-03-09 14:08:14.030000
224148418,452419,,2021-03-09 14:08:14.030000
224712020,1192075,,2021-03-09 14:08:14.030000
224997645,1298406,42499400,2021-03-09 14:08:14.031000
77193306,552617,14653937,2021-03-09 14:08:10.009000
77497129,441896,,2021-03-09 14:08:10.009000
226307553,1134197,42874714,2021-03-09 14:08:14.030000
79088313,456411,15196212,2021-03-09 14:08:10.009000
227295238,1298510,43013316,2021-03-09 14:08:14.031000
227759664,484373,43067676,2021-03-09 14:08:14.030000
80098906,484330,15197763,2021-03-09 14:08:10.009000
228325657,473161,43289751,2021-03-09 14:08:14.263000
230614491,1017134,43679534,2021-03-09 14:08:14.264000
84994190,484373,16286670,2021-03-09 14:08:09.473000
86484834,484373,16458093,2021-03-09 14:08:10.302000
87724130,464840,,2021-03-09 14:08:10.010000
89290237,648036,17043548,2021-03-09 14:08:10.009000
89922706,473239,,2021-03-09 14:08:10.303000
91193549,473239,,2021-03-09 14:08:10.303000
91703410,484373,17645525,2021-03-09 14:08:10.303000
93263879,648036,17800606,2021-03-09 14:08:10.303000
95927525,484361,18419842,2021-03-09 14:08:10.304000
98164929,484366,18848067,2021-03-09 14:08:10.304000
100319397,484373,19294356,2021-03-09 14:08:10.304000
101292700,484373,19423823,2021-03-09 14:08:10.592000
103343594,767628,,2021-03-09 14:08:10.592000
105464034,552617,20373382,2021-03-09 14:08:10.593000
107396685,480811,,2021-03-09 14:08:10.593000
109257088,867170,20892247,2021-03-09 14:08:10.593000
110555254,456411,21262176,2021-03-09 14:08:10.593000
110744869,464840,,2021-03-09 14:08:10.593000
112677751,452419,,2021-03-09 14:08:10.849000
114317737,452419,,2021-03-09 14:08:10.849000
115932030,466247,22957695,2021-03-09 14:08:10.850000
116420080,689111,,2021-03-09 14:08:10.849000
118809351,471194,22960004,2021-03-09 14:08:10.850000
119784303,534242,23095596,2021-03-09 14:08:11.131000
120401475,471195,23214853,2021-03-09 14:08:10.850000
121807485,452419,,2021-03-09 14:08:11.131000
122249074,441896,,2021-03-09 14:08:10.850000
123807315,975060,23782894,2021-03-09 14:08:11.132000
